#{"t_start": 1789934441.1778426, "env_id": "None"}
r,l,t
-29.648268,200,3.035605
-33.013476,200,3.152737
-34.768807,200,3.262943
-30.845234,200,3.361101
-37.05771,200,3.457427
-37.119494,200,3.556582
-27.765651,200,3.649619
-24.177087,200,3.753534
-31.571122,200,3.849073
-35.2634,200,3.946006
-31.04725,200,5.483687
-25.287781,200,5.611172
-25.68667,200,5.706549
-24.49665,200,5.801498
-25.282313,200,5.897318
-30.150295,200,5.996653
-27.970574,200,6.109467
-35.416762,200,6.21565
-25.387586,200,6.314434
-22.436266,200,6.465046
-17.568254,200,7.694687
-17.629193,200,7.823139
-19.375924,200,7.923406
-16.912718,200,8.01971
-17.165626,200,8.117679
-16.167,200,9.156595
-27.215879,200,9.254184
-11.640473,200,9.353586
-13.154719,200,9.468485
-14.536232,200,9.592498
-20.701486,200,11.088012
-11.4475,200,11.233399
-10.350685,200,11.345966
-9.081459,200,11.451646
-9.978417,200,11.599373
-15.716004,200,11.752687
-12.81746,200,11.849072
-6.264763,200,11.944358
-17.264453,200,12.062252
-7.125576,200,12.178732
-12.104146,200,13.468009
-4.514734,200,13.61364
-9.971683,200,13.732532
0.627149,200,13.829085
-6.599069,200,13.929719
-5.818892,200,14.027795
0.339931,200,14.127762
-9.904962,200,14.225368
-6.827007,200,14.318422
-7.066329,200,14.412544
-2.08156,200,15.225362
-4.765817,200,16.477113
0.406408,200,16.60953
4.355449,200,16.746183
-1.576712,200,16.84914
-3.175966,200,16.952764
6.120584,200,17.064835
0.217908,200,17.161014
3.325794,200,17.255925
-6.740126,200,17.351089
5.944066,200,17.45136
14.501762,200,18.619676
14.333544,200,18.757595
14.322802,200,18.870975
8.600234,200,18.996792
8.206799,200,19.105418
5.080247,200,19.211363
14.27711,200,19.316311
9.829658,200,19.415647
-2.672745,200,19.512507
5.807822,200,19.609841
17.837906,200,20.889473
15.841752,200,21.014374
13.743477,200,21.124407
20.170179,200,21.217547
12.414713,200,22.338609
12.278538,200,22.442435
14.207916,200,22.558611
13.462601,200,22.659989
15.265955,200,22.786202
9.144482,200,22.889512
9.432836,200,24.199352
27.359665,200,24.361937
23.700571,200,24.479246
14.991179,200,24.579062
22.658971,200,24.707524
25.711668,200,24.842403
32.03991,200,24.96086
13.968809,200,25.065587
19.162946,200,25.169817
9.311539,200,25.276927
22.453973,200,25.383486
21.121785,200,27.575569
27.696728,200,27.711818
33.775726,200,27.815959
33.840753,200,27.915777
29.933896,200,28.021248
17.067804,200,28.124939
52.287757,200,28.237077
24.699889,200,28.35923
27.327316,200,29.288404
18.65825,200,29.385712
14.071331,200,30.786836
33.613834,200,30.927457
25.421873,200,31.03861
23.708783,200,31.143881
27.051335,200,31.239725
33.377613,200,31.33673
25.975043,200,31.436487
28.822539,200,31.532685
20.638783,200,31.628499
33.619349,200,31.727951
40.756376,200,33.021439
30.952644,200,33.160535
31.964212,200,33.260982
21.300464,200,33.356278
28.208616,200,33.450975
35.507256,200,33.549492
23.711888,200,33.646156
25.294321,200,33.742945
34.397834,200,33.836902
44.680145,200,33.930711
39.169183,200,35.12668
38.034719,200,35.260032
25.969519,200,35.376272
34.224484,200,36.208516
22.870195,200,36.304109
36.671509,200,36.408491
43.813851,200,36.503237
32.341179,200,36.595978
34.044853,200,36.698704
44.846425,200,36.793122
36.06785,200,36.888242
24.634462,200,38.227335
29.336545,200,38.342698
26.467338,200,38.437839
39.444252,200,38.531447
33.77258,200,38.62802
53.514459,200,38.726899
25.834911,200,38.820791
42.413875,200,38.913745
41.647687,200,39.009775
45.199569,200,39.103256
51.710427,200,40.253482
56.962416,200,40.383488
40.67757,200,40.478282
37.331799,200,40.579921
25.646134,200,40.673429
49.128622,200,40.767015
36.844729,200,40.86014
38.18264,200,41.660727
48.675182,200,41.756622
43.314258,200,41.858726
38.519366,200,43.074229
35.749485,200,43.200442
45.240652,200,43.309629
32.373952,200,43.408037
32.03144,200,43.502749
39.197194,200,43.596751
27.347233,200,43.689551
40.948522,200,43.78544
41.170732,200,43.876571
42.383156,200,43.968429
53.979596,200,45.136369
54.027658,200,45.28065
40.732841,200,45.394936
48.309024,200,45.488724
34.133206,200,45.587307
56.983447,200,45.686267
47.091773,200,45.792421
47.770015,200,45.885562
52.932166,200,45.978697
52.735957,200,46.069821
55.209865,200,46.16535
56.790237,200,47.304492
36.070221,200,48.115174
54.293424,200,48.209288
68.190753,200,48.304326
48.511926,200,48.396845
46.897402,200,48.492557
55.103019,200,48.58858
65.86336,200,48.68225
40.18905,200,48.779329
40.497847,200,48.877964
49.907122,200,50.183462
66.541114,200,50.312256
64.692582,200,50.416804
59.499333,200,50.51377
50.907138,200,50.611175
61.380109,200,50.708274
33.541262,200,50.808069
43.251534,200,50.908329
40.016787,200,51.004931
61.000551,200,51.10322
61.940104,200,52.250954
43.583348,200,52.381829
49.762806,200,52.4797
64.515418,200,52.57076
56.479371,200,52.662615
61.275237,200,52.757572
61.636991,200,53.55477
57.380214,200,53.654844
58.94603,200,53.764042
67.725719,200,53.861601
66.398213,200,55.156694
65.010098,200,55.345303
59.942546,200,55.450709
60.204689,200,55.548455
60.178203,200,55.641546
60.892679,200,55.739997
31.814408,200,55.835435
66.667344,200,55.938321
72.511586,200,56.036404
56.705316,200,56.129864
61.236985,200,56.233219
